algorithm,structure,dataset,size,time
quick,array,flat,50,0.00036910001654177904
quick,linked,flat,50,4.9399968702346087e-05
merge,array,flat,50,0.0005553000373765826
merge,linked,flat,50,0.0001306000049225986
heap,array,flat,50,2.370000584051013e-05
heap,linked,flat,50,1.8700025975704193e-05
counting,array,flat,50,1.6400008462369442e-05
counting,linked,flat,50,1.2100033927708864e-05
radix,array,flat,50,6.079999729990959e-05
radix,linked,flat,50,5.5800017435103655e-05
selection,array,random,100,0.0004162000259384513
selection,linked,random,100,0.0004401999758556485
bubble,array,random,100,0.0008596000261604786
bubble,linked,random,100,0.0008125000167638063
insertion,array,random,100,0.0003926000208593905
insertion,linked,random,100,0.0004013999714516103
shell,array,random,100,0.00015350000467151403
shell,linked,random,100,0.0001596000511199236
merge,array,random,100,0.0002910999464802444
merge,linked,random,100,0.0003043000469915569
quick,array,random,100,0.00027740001678466797
quick,linked,random,100,0.00020249997032806277
heap,array,random,100,4.8900023102760315e-05
heap,linked,random,100,3.999995533376932e-05
radix,array,random,100,0.0002864999696612358
radix,linked,random,100,0.0002943000290542841
bubble,array,sorted,100,0.0004908000119030476
bubble,linked,sorted,100,0.000513100007083267
selection,array,sorted,100,0.00042320002103224397
selection,linked,sorted,100,0.00044929998693987727
insertion,array,sorted,100,2.0599982235580683e-05
insertion,linked,sorted,100,1.9799976143985987e-05
shell,array,sorted,100,8.929998148232698e-05
shell,linked,sorted,100,8.550001075491309e-05
merge,array,sorted,100,0.0002460999530740082
merge,linked,sorted,100,0.00021180004114285111
quick,array,sorted,100,0.00015490001533180475
quick,linked,sorted,100,0.00015929999062791467
heap,array,sorted,100,4.770001396536827e-05
heap,linked,sorted,100,4.079996142536402e-05
counting,array,sorted,100,4.880002234131098e-05
counting,linked,sorted,100,0.00010019994806498289
radix,array,sorted,100,0.00010710000060498714
radix,linked,sorted,100,0.00010599999222904444
bubble,array,reverse,100,0.001108099997509271
bubble,linked,reverse,100,0.001056100009009242
selection,array,reverse,100,0.0004830000107176602
selection,linked,reverse,100,0.0004501999937929213
shell,array,reverse,100,0.00013510003918781877
shell,linked,reverse,100,0.00012750003952533007
merge,array,reverse,100,0.0002557000261731446
merge,linked,reverse,100,0.0002739000483416021
quick,array,reverse,100,0.00015709997387602925
quick,linked,reverse,100,0.00015590002294629812
insertion,array,reverse,100,0.0008623999892733991
insertion,linked,reverse,100,0.0008983999723568559
heap,array,reverse,100,5.189998773857951e-05
heap,linked,reverse,100,3.890000516548753e-05
counting,array,reverse,100,5.219999002292752e-05
counting,linked,reverse,100,4.630000330507755e-05
radix,array,reverse,100,0.00020830001449212432
radix,linked,reverse,100,0.00015169999096542597
selection,array,almost,100,0.00039000000106170774
selection,linked,almost,100,0.00041360000614076853
bubble,array,almost,100,0.0006006000330671668
bubble,linked,almost,100,0.0005515999509952962
insertion,array,almost,100,5.819997750222683e-05
insertion,linked,almost,100,0.0004891999997198582
shell,array,almost,100,0.00010130001464858651
shell,linked,almost,100,9.810004848986864e-05
quick,array,almost,100,0.00016630004392936826
quick,linked,almost,100,0.00015619996702298522
merge,array,almost,100,0.00025209999876096845
merge,linked,almost,100,0.00028149998979642987
heap,array,almost,100,5.030003376305103e-05
heap,linked,almost,100,4.020001506432891e-05
counting,array,almost,100,5.5100012104958296e-05
counting,linked,almost,100,4.840001929551363e-05
radix,array,almost,100,0.00014810002176091075
radix,linked,almost,100,0.0001066999975591898
selection,array,half,100,0.0004341999883763492
selection,linked,half,100,0.0004656999954022467
bubble,array,half,100,0.0006445000180974603
bubble,linked,half,100,0.000564300047699362
insertion,array,half,100,0.00012749998131766915
insertion,linked,half,100,0.00014429999282583594
shell,array,half,100,0.00010639999527484179
shell,linked,half,100,0.00011389999417588115
quick,array,half,100,0.00020769995171576738
quick,linked,half,100,0.0001928000128827989
merge,array,half,100,0.00031019997550174594
merge,linked,half,100,0.0002714999718591571
heap,array,half,100,5.390000296756625e-05
heap,linked,half,100,4.650000482797623e-05
radix,array,half,100,0.00029399996856227517
radix,linked,half,100,0.00027190003311261535
bubble,array,flat,100,0.0008362000226043165
bubble,linked,flat,100,0.0007820999599061906
selection,array,flat,100,0.0004282000008970499
selection,linked,flat,100,0.0004214000073261559
insertion,array,flat,100,0.00041420001070946455
insertion,linked,flat,100,0.00043029995867982507
shell,array,flat,100,0.00014349998673424125
shell,linked,flat,100,0.0001411999692209065
merge,array,flat,100,0.0003396999672986567
merge,linked,flat,100,0.0002989000058732927
quick,array,flat,100,9.200000204145908e-05
quick,linked,flat,100,8.3099992480129e-05
heap,array,flat,100,5.2600051276385784e-05
heap,linked,flat,100,4.1300023440271616e-05
counting,array,flat,100,3.070000093430281e-05
counting,linked,flat,100,2.0599982235580683e-05
radix,array,flat,100,0.00010559998918324709
radix,linked,flat,100,0.00014369998825713992
counting,array,random,30,0.03112410003086552
counting,linked,random,30,0.03757660003611818
counting,array,half,30,0.03517879999708384
counting,linked,half,30,0.02701110002817586
shell,array,random,1000,0.003615699999500066
shell,linked,random,1000,0.003561899997293949
counting,array,random,50,0.03033290000166744
counting,linked,random,50,0.03014029999030754
merge,array,random,1000,0.003939599962905049
merge,linked,random,1000,0.004074199998285621
heap,array,random,1000,0.0004989000153727829
heap,linked,random,1000,0.0005041999975219369
counting,array,half,50,0.02900669997325167
counting,linked,half,50,0.03064720000838861
quick,array,random,1000,0.003001400036737323
quick,linked,random,1000,0.0029350000550039113
insertion,array,sorted,1000,0.00023639999562874436
insertion,linked,sorted,1000,0.00023310002870857716
radix,array,random,1000,0.0029640000429935753
radix,linked,random,1000,0.0027982000028714538
shell,array,sorted,1000,0.0016517999465577304
shell,linked,sorted,1000,0.0017033999902196229
merge,array,sorted,1000,0.0028279999969527125
merge,linked,sorted,1000,0.0027100000297650695
heap,array,sorted,1000,0.000680500001180917
heap,linked,sorted,1000,0.000590000010561198
quick,array,sorted,1000,0.00235730002168566
quick,linked,sorted,1000,0.002114799979608506
counting,array,sorted,1000,0.0005378999630920589
counting,linked,sorted,1000,0.0004885999951511621
counting,array,random,100,0.0316471999976784
counting,linked,random,100,0.03302929998608306
radix,array,sorted,1000,0.002244299976155162
radix,linked,sorted,1000,0.0018913000239990652
shell,array,reverse,1000,0.0026926000136882067
shell,linked,reverse,1000,0.003851699992083013
counting,array,half,100,0.029884199961088598
counting,linked,half,100,0.029782099998556077
quick,array,reverse,1000,0.002284300047904253
quick,linked,reverse,1000,0.002203500014729798
merge,array,reverse,1000,0.0028682000120170414
merge,linked,reverse,1000,0.0027821999974548817
heap,array,reverse,1000,0.0004870999837294221
heap,linked,reverse,1000,0.0004943000385537744
counting,array,reverse,1000,0.0005471000331453979
counting,linked,reverse,1000,0.0004984999541193247
radix,array,reverse,1000,0.0021726000122725964
radix,linked,reverse,1000,0.0024169000098481774
insertion,array,almost,1000,0.002438299998175353
insertion,linked,almost,1000,0.0023862000089138746
shell,array,almost,1000,0.0026189000345766544
shell,linked,almost,1000,0.0025946000241674483
heap,array,almost,1000,0.00047580001410096884
heap,linked,almost,1000,0.0004946999833919108
counting,array,almost,1000,0.0005314000300131738
counting,linked,almost,1000,0.0004860999761149287
quick,array,almost,1000,0.002275999984703958
quick,linked,almost,1000,0.0022444999776780605
merge,array,almost,1000,0.0034299000399187207
merge,linked,almost,1000,0.0033097999985329807
radix,array,almost,1000,0.0017421000520698726
radix,linked,almost,1000,0.0016833999543450773
counting,array,random,1000,0.034965300001204014
counting,linked,random,1000,0.032588600006420165
shell,array,half,1000,0.0025195999769493937
shell,linked,half,1000,0.0024594999849796295
selection,array,random,1000,0.050357399974018335
selection,linked,random,1000,0.045799899962730706
quick,array,half,1000,0.002882799948565662
quick,linked,half,1000,0.0035510000307112932
merge,array,half,1000,0.005992299993522465
merge,linked,half,1000,0.003116499981842935
heap,array,half,1000,0.0006240999791771173
heap,linked,half,1000,0.00046720000682398677
insertion,array,random,1000,0.05167110002366826
insertion,linked,random,1000,0.055356300028506666
insertion,array,half,1000,0.013076099974568933
insertion,linked,half,1000,0.017091499990783632
radix,array,half,1000,0.0028299999539740384
