algorithm,structure,dataset,size,time
shell,array,random,30,2.0300038158893585e-05
shell,linked_list,random,30,1.9000028260052204e-05
merge,array,random,30,4.650000482797623e-05
merge,linked_list,random,30,4.20999713242054e-05
quick,array,random,30,3.809999907389283e-05
quick,linked_list,random,30,3.1400006264448166e-05
heap,array,random,30,7.599999662488699e-06
heap,linked_list,random,30,5.799985956400633e-06
counting,array,random,30,0.01730349997524172
counting,linked_list,random,30,0.016927999968174845
radix,array,random,30,8.399999933317304e-05
radix,linked_list,random,30,5.709996912628412e-05
bubble,array,sorted,30,5.470000905916095e-05
bubble,linked_list,sorted,30,3.029999788850546e-05
selection,array,sorted,30,2.729997504502535e-05
selection,linked_list,sorted,30,2.6699970476329327e-05
insertion,array,sorted,30,4.499976057559252e-06
insertion,linked_list,sorted,30,3.7999707274138927e-06
shell,array,sorted,30,1.1699972674250603e-05
shell,linked_list,sorted,30,1.090002479031682e-05
merge,array,sorted,30,5.640002200379968e-05
merge,linked_list,sorted,30,3.379996633157134e-05
quick,array,sorted,30,2.340000355616212e-05
quick,linked_list,sorted,30,2.1199986804276705e-05
heap,array,sorted,30,9.7999582067132e-06
heap,linked_list,sorted,30,7.199996616691351e-06
counting,array,sorted,30,1.0699965059757233e-05
counting,linked_list,sorted,30,8.800008799880743e-06
radix,array,sorted,30,2.4600012693554163e-05
radix,linked_list,sorted,30,2.1599989850074053e-05
bubble,array,reverse,30,6.280001252889633e-05
bubble,linked_list,reverse,30,0.00010000000474974513
selection,array,reverse,30,2.9699993319809437e-05
selection,linked_list,reverse,30,2.859998494386673e-05
insertion,array,reverse,30,4.8399961087852716e-05
insertion,linked_list,reverse,30,4.780001472681761e-05
shell,array,reverse,30,1.8900027498602867e-05
shell,linked_list,reverse,30,1.7900019884109497e-05
merge,array,reverse,30,3.890000516548753e-05
merge,linked_list,reverse,30,3.4999975468963385e-05
quick,array,reverse,30,3.6999990697950125e-05
quick,linked_list,reverse,30,1.969997538253665e-05
heap,array,reverse,30,7.399998139590025e-06
heap,linked_list,reverse,30,6.099988240748644e-06
counting,array,reverse,30,9.90001717582345e-06
counting,linked_list,reverse,30,8.599949069321156e-06
radix,array,reverse,30,2.2899999748915434e-05
radix,linked_list,reverse,30,2.929999027401209e-05
bubble,array,almost_sorted,30,3.130000550299883e-05
bubble,linked_list,almost_sorted,30,3.060000017285347e-05
selection,array,almost_sorted,30,2.6999972760677338e-05
selection,linked_list,almost_sorted,30,2.6699970476329327e-05
insertion,array,almost_sorted,30,4.999979864805937e-06
insertion,linked_list,almost_sorted,30,4.500034265220165e-06
shell,array,almost_sorted,30,1.1800031643360853e-05
shell,linked_list,almost_sorted,30,1.1400028597563505e-05
merge,array,almost_sorted,30,3.789999755099416e-05
merge,linked_list,almost_sorted,30,3.3599964808672667e-05
quick,array,almost_sorted,30,2.500001573935151e-05
quick,linked_list,almost_sorted,30,2.0299979951232672e-05
heap,array,almost_sorted,30,7.700000423938036e-06
heap,linked_list,almost_sorted,30,6.100046448409557e-06
counting,array,almost_sorted,30,9.800016414374113e-06
counting,linked_list,almost_sorted,30,8.600007276982069e-06
radix,array,almost_sorted,30,2.3200002033263445e-05
radix,linked_list,almost_sorted,30,4.499999340623617e-05
bubble,array,half_sorted,30,3.689998993650079e-05
bubble,linked_list,half_sorted,30,3.550003748387098e-05
selection,array,half_sorted,30,2.9099988751113415e-05
selection,linked_list,half_sorted,30,2.7799978852272034e-05
insertion,array,half_sorted,30,1.1599971912801266e-05
insertion,linked_list,half_sorted,30,1.0699965059757233e-05
shell,array,half_sorted,30,1.650000922381878e-05
shell,linked_list,half_sorted,30,1.5199999324977398e-05
merge,array,half_sorted,30,4.1199964471161366e-05
merge,linked_list,half_sorted,30,3.890000516548753e-05
quick,array,half_sorted,30,3.4800032153725624e-05
quick,linked_list,half_sorted,30,2.8199981898069382e-05
heap,array,half_sorted,30,8.300004992634058e-06
heap,linked_list,half_sorted,30,1.3300043065100908e-05
counting,array,half_sorted,30,0.01992739998968318
counting,linked_list,half_sorted,30,0.01745020004455
radix,array,half_sorted,30,7.16999638825655e-05
radix,linked_list,half_sorted,30,5.7500030379742384e-05
bubble,array,flat,30,6.960000609979033e-05
bubble,linked_list,flat,30,4.640000406652689e-05
selection,array,flat,30,3.0300056096166372e-05
selection,linked_list,flat,30,2.9099988751113415e-05
insertion,array,flat,30,2.3999949917197227e-05
insertion,linked_list,flat,30,2.300000051036477e-05
shell,array,flat,30,1.7000013031065464e-05
shell,linked_list,flat,30,1.5700003132224083e-05
merge,array,flat,30,5.0399976316839457e-05
merge,linked_list,flat,30,4.080001963302493e-05
quick,array,flat,30,1.7900019884109497e-05
quick,linked_list,flat,30,1.4199991710484028e-05
heap,array,flat,30,1.3599987141788006e-05
heap,linked_list,flat,30,6.999995093792677e-06
counting,array,flat,30,6.699992809444666e-06
counting,linked_list,flat,30,4.599976819008589e-06
radix,array,flat,30,1.3399985618889332e-05
radix,linked_list,flat,30,1.1700030881911516e-05
bubble,array,random,50,0.0002204999909736216
bubble,linked_list,random,50,0.0002815000480040908
selection,array,random,50,0.00010229996405541897
selection,linked_list,random,50,0.00010190001921728253
insertion,array,random,50,9.390001650899649e-05
insertion,linked_list,random,50,9.270000737160444e-05
shell,array,random,50,5.779997445642948e-05
shell,linked_list,random,50,0.00021609995746985078
merge,array,random,50,8.480000542476773e-05
merge,linked_list,random,50,7.469998672604561e-05
quick,array,random,50,6.410002242773771e-05
quick,linked_list,random,50,5.560001591220498e-05
heap,array,random,50,1.4399993233382702e-05
heap,linked_list,random,50,1.0999967344105244e-05
counting,array,random,50,0.016747099987696856
counting,linked_list,random,50,0.01750230003381148
radix,array,random,50,0.00010090001160278916
radix,linked_list,random,50,8.750002598389983e-05
bubble,array,sorted,50,8.079997496679425e-05
bubble,linked_list,sorted,50,8.00999696366489e-05
selection,array,sorted,50,6.890000076964498e-05
selection,linked_list,sorted,50,6.849999772384763e-05
insertion,array,sorted,50,6.699992809444666e-06
insertion,linked_list,sorted,50,6.199989002197981e-06
shell,array,sorted,50,2.370000584051013e-05
shell,linked_list,sorted,50,2.239999594166875e-05
